Variable	GG_1ngS1_1	GG_1ngS1_2	GG_1ngS1_3	GG_1ngS1_4	GG_1ngS1_5	GG_1ngS1_6	GG_1ngS1_7	GG_1ngS1_8	GG_1ngS2_1	GG_1ngS2_2	GG_1ngS2_3	GG_1ngS2_4	GG_1ngS2_5	GG_1ngS2_6	GG_1ngS2_7	GG_1ngS2_8
ENSG00000117242.7	3	0	2	3	1	2	1	1	0	5	1	0	1	1	0	2
ENSG00000244038.9	0	0	0	0	1	1	1	0	0	1	0	0	0	0	0	1
ENSG00000127483.17	5	12	6	3	8	12	11	13	10	21	9	15	3	14	8	10
ENSG00000233072.1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ENSG00000075151.19	1	6	5	6	2	2	3	5	5	7	6	2	3	4	3	7
ENSG00000117298.14	0	1	0	0	0	0	0	0	0	0	1	0	0	1	2	0
ENSG00000142794.18	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
ENSG00000076864.19	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0
ENSG00000090686.15	1	1	2	4	0	4	1	6	1	9	4	1	5	7	2	1
ENSG00000142798.16	0	0	1	0	1	0	0	0	0	2	0	0	1	1	1	0
ENSG00000218510.5	1	0	0	2	1	0	1	0	1	1	0	1	2	1	0	0
ENSG00000070831.15	11	9	14	6	9	10	5	11	4	28	18	6	2	6	10	5
ENSG00000230068.2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000271428.1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0
ENSG00000184677.16	1	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0
ENSG00000133216.16	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
ENSG00000004487.15	2	4	2	2	2	0	3	0	1	7	3	5	1	2	2	2
ENSG00000240553.1	1	0	1	1	0	0	0	1	2	1	1	0	0	0	0	0
ENSG00000169641.13	0	1	0	0	2	0	1	0	1	2	3	0	1	1	1	0
ENSG00000179546.4	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
ENSG00000215381.3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000125944.18	2	6	9	5	10	8	3	10	2	22	9	9	8	12	5	11
ENSG00000249087.6	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0
ENSG00000125945.14	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000204219.9	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0
ENSG00000088280.18	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000007968.6	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000117318.8	59	73	101	88	62	91	57	82	85	95	85	82	63	86	66	65
ENSG00000197880.8	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0
ENSG00000142676.12	131	164	168	138	126	208	161	146	120	129	146	111	109	147	119	104
ENSG00000011007.12	3	3	2	2	3	1	1	3	2	3	0	0	2	2	1	2
ENSG00000236810.5	1	1	2	0	1	1	0	0	0	3	2	1	0	0	0	0
ENSG00000057757.9	0	1	0	6	0	1	1	2	1	0	0	0	1	2	3	0
ENSG00000011009.10	5	3	5	1	1	3	2	3	0	7	3	1	3	4	2	5
ENSG00000117308.14	4	2	1	1	4	5	0	2	3	2	1	3	5	1	2	4
ENSG00000117305.14	6	4	4	0	2	3	2	1	1	2	4	2	1	0	2	1
ENSG00000179163.11	0	0	0	0	0	0	0	2	0	0	1	0	0	0	3	0
ENSG00000189266.11	1	5	4	3	5	7	4	2	2	3	6	3	7	5	3	2
ENSG00000188529.14	16	24	20	20	19	23	12	13	11	25	14	20	22	22	20	21
ENSG00000142661.18	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
ENSG00000185436.11	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0
ENSG00000158055.15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ENSG00000001461.16	1	1	1	1	2	0	0	4	1	3	1	0	0	1	1	1
ENSG00000001460.17	1	0	0	0	1	0	0	0	0	0	4	1	1	3	0	0
ENSG00000117602.11	0	1	0	0	1	0	0	1	0	0	0	1	1	3	0	0
ENSG00000133226.16	10	13	18	20	19	19	7	11	12	22	26	12	8	18	9	15
ENSG00000169504.14	2	3	3	4	2	5	3	5	0	6	3	2	2	6	4	2
ENSG00000264371.1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
ENSG00000233755.1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0
ENSG00000117614.9	7	3	2	7	6	7	5	6	2	1	6	7	3	5	3	4
ENSG00000272432.1	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0
ENSG00000183726.10	12	12	16	20	18	15	14	14	15	21	13	17	8	20	21	12
ENSG00000117616.17	1	0	2	1	1	0	2	2	2	3	0	1	0	1	0	0
ENSG00000204178.9	0	0	0	0	2	2	1	0	0	2	0	3	0	0	1	0
ENSG00000157978.11	0	0	0	1	0	2	0	0	0	1	0	0	0	1	0	2
ENSG00000225643.1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0
ENSG00000255054.3	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0
ENSG00000117640.17	1	3	1	0	0	1	0	0	1	0	1	1	0	1	1	2
ENSG00000228172.5	0	0	0	1	0	1	0	0	0	0	1	0	0	1	1	0
ENSG00000272478.1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ENSG00000127423.10	0	0	0	1	2	0	0	3	1	0	0	0	1	1	1	0
ENSG00000236528.1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000264021.1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0
ENSG00000117632.20	39	40	64	40	31	49	23	41	49	57	37	27	25	48	29	27
ENSG00000158006.13	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0
ENSG00000175087.9	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1
ENSG00000142684.7	7	9	16	6	5	14	14	12	5	13	11	10	14	10	10	10
ENSG00000236782.5	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0
ENSG00000236155.6	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
ENSG00000130695.13	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ENSG00000142669.13	17	16	33	27	17	26	14	22	23	19	24	32	14	24	7	21
ENSG00000158062.20	1	0	2	0	1	1	0	1	0	3	0	0	0	0	0	1
ENSG00000176092.13	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0
ENSG00000117682.16	0	0	3	2	1	0	2	1	2	0	1	0	0	0	0	1
ENSG00000198830.10	1	2	0	0	3	0	3	0	0	2	2	0	0	1	1	0
ENSG00000117676.13	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0
ENSG00000260063.1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ENSG00000117713.17	0	0	0	1	0	1	2	0	0	0	0	0	0	0	1	0
ENSG00000060642.10	0	1	0	1	0	1	1	0	1	1	2	1	1	1	0	0
ENSG00000175793.11	9	6	6	10	8	10	7	10	8	11	10	8	7	11	5	3
ENSG00000142751.14	0	1	1	2	2	2	1	0	0	0	0	0	0	0	2	1
ENSG00000090273.13	6	6	6	15	5	8	11	7	8	12	9	5	2	9	7	8
ENSG00000198746.12	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0
ENSG00000090020.10	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000225159.1	0	0	2	1	0	0	0	0	0	1	0	0	0	1	0	2
ENSG00000142784.15	0	0	0	0	0	1	1	2	0	4	0	0	0	0	0	2
ENSG00000186501.14	0	2	2	0	2	3	0	1	1	2	1	0	0	0	0	2
ENSG00000158195.10	5	5	9	5	3	8	4	6	8	13	5	5	4	5	6	6
ENSG00000237429.1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0
ENSG00000126705.13	0	0	1	0	0	0	1	0	1	1	0	0	0	0	0	1
ENSG00000235912.1	0	2	0	2	1	0	0	1	0	0	0	0	0	0	0	0
ENSG00000225886.3	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
ENSG00000126709.14	7	8	14	6	5	11	14	8	3	13	10	6	6	7	3	8
ENSG00000009780.15	0	2	0	0	1	0	0	0	0	0	0	1	0	0	0	0
ENSG00000117758.13	0	2	0	0	1	0	0	1	0	0	0	0	1	0	1	0
ENSG00000270031.1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ENSG00000117751.17	0	0	2	2	0	0	1	0	1	1	0	0	1	0	1	5
ENSG00000117748.9	6	7	7	6	7	8	5	5	7	7	6	5	2	2	4	5
